T=0: V3: A V2: A V1: A 
T=1: V3: (0,0) V2: A V1: A 
T=2: V3: H[0,0]F slot=0 V2: A V1: A 
T=3: V3: H[0,0]F slot=1 V2: (0,0) V1: A 
T=4: V3: H[0,0]F slot=2 V2: (0,0) V1: (0,0) 
T=5: V3: H[0,0]F slot=3 V2: (0,0) V1: (0,0) 
T=6: V3: H[0,0]F slot=4 V2: (0,0) V1: (0,0) 
T=7: V3: H[0,0]F slot=5 V2: H[0,0]F slot=0 V1: (0,0) 
T=8: V3: H[0,0]F slot=6 V2: H[0,0]F slot=1 V1: (0,0) 
T=9: V3: H[0,0]F slot=7 V2: H[0,0]F slot=2 V1: V[0,0]F slot=0 
T=10: V3: H[0,0]F slot=8 V2: H[0,0]F slot=3 V1: V[0,0]F slot=1 
T=11: V3: H[0,0]F slot=9 V2: H[0,0]F slot=4 V1: V[0,0]F slot=2 
T=12: V3: H[0,0]F slot=10 V2: H[0,0]F slot=5 V1: V[0,0]F slot=3 
T=13: V3: H[0,0]F slot=11 V2: H[0,0]F slot=6 V1: V[0,0]F slot=4 
T=14: V3: H[0,0]F slot=12 V2: H[0,0]F slot=7 V1: V[0,0]F slot=5 
T=15: V3: H[0,0]F slot=13 V2: H[0,0]F slot=8 V1: V[0,0]F slot=6 
T=16: V3: H[0,0]F slot=14 V2: H[0,0]F slot=9 V1: V[0,0]F slot=7 
T=17: V3: H[0,0]F slot=15 V2: H[0,0]F slot=10 V1: V[0,0]F slot=8 
T=18: V3: H[0,0]F slot=16 V2: H[0,0]F slot=11 V1: V[0,0]F slot=9 
T=19: V3: H[0,0]F slot=17 V2: H[0,0]F slot=12 V1: V[0,0]F slot=10 
T=20: V3: H[0,0]F slot=18 V2: H[0,0]F slot=13 V1: V[0,0]F slot=11 
T=21: V3: H[0,0]F slot=19 V2: H[0,0]F slot=14 V1: V[0,0]F slot=12 
T=22: V3: H[0,0]F slot=20 V2: H[0,0]F slot=15 V1: V[0,0]F slot=13 
T=23: V3: H[0,0]F slot=21 V2: H[0,0]F slot=16 V1: V[0,0]F slot=14 
T=24: V3: H[0,0]F slot=22 V2: H[0,0]F slot=17 V1: V[0,0]F slot=15 
T=25: V3: H[0,0]F slot=23 V2: H[0,0]F slot=18 V1: V[0,0]F slot=16 
T=26: V3: H[0,0]F slot=24 V2: H[0,0]F slot=19 V1: V[0,0]F slot=17 
T=27: V3: H[0,0]F slot=25 V2: H[0,0]F slot=20 V1: V[0,0]F slot=18 
T=28: V3: H[0,0]F slot=26 V2: H[0,0]F slot=21 V1: V[0,0]F slot=19 
T=29: V3: H[0,0]F slot=27 V2: H[0,0]F slot=22 V1: V[0,0]F slot=20 
T=30: V3: H[0,0]F slot=28 V2: H[0,0]F slot=23 V1: V[0,0]F slot=21 
T=31: V3: H[0,0]F slot=29 V2: H[0,0]F slot=24 V1: V[0,0]F slot=22 
T=32: V3: (0,1) V2: H[0,0]F slot=25 V1: V[0,0]F slot=23 
T=33: V3: (0,1) V2: H[0,0]F slot=26 V1: V[0,0]F slot=24 
T=34: V3: (0,1) V2: H[0,0]F slot=27 V1: V[0,0]F slot=25 
T=35: V3: (0,1) V2: H[0,0]F slot=28 V1: V[0,0]F slot=26 
T=36: V3: (0,1) V2: H[0,0]F slot=29 V1: V[0,0]F slot=27 
T=37: V3: H[0,1]F slot=0 V2: H[0,0]F slot=29 V1: V[0,0]F slot=28 
T=38: V3: H[0,1]F slot=1 V2: (0,1) V1: V[0,0]F slot=29 
T=39: V3: H[0,1]F slot=2 V2: (0,1) V1: (1,0) 
T=40: V3: H[0,1]F slot=3 V2: (0,1) V1: (1,0) 
T=41: V3: H[0,1]F slot=4 V2: (0,1) V1: V[1,0]F slot=0 
T=42: V3: H[0,1]F slot=5 V2: (0,1) V1: V[1,0]F slot=1 
T=43: V3: H[0,1]F slot=6 V2: H[0,1]F slot=0 V1: V[1,0]F slot=2 
T=44: V3: H[0,1]F slot=7 V2: H[0,1]F slot=1 V1: V[1,0]F slot=3 
T=45: V3: H[0,1]F slot=8 V2: H[0,1]F slot=2 V1: V[1,0]F slot=4 
T=46: V3: H[0,1]F slot=9 V2: H[0,1]F slot=3 V1: V[1,0]F slot=5 
T=47: V3: H[0,1]F slot=10 V2: H[0,1]F slot=4 V1: V[1,0]F slot=6 
T=48: V3: H[0,1]F slot=11 V2: H[0,1]F slot=5 V1: V[1,0]F slot=7 
T=49: V3: H[0,1]F slot=12 V2: H[0,1]F slot=6 V1: V[1,0]F slot=8 
T=50: V3: H[0,1]F slot=13 V2: H[0,1]F slot=7 V1: V[1,0]F slot=9 
T=51: V3: H[0,1]F slot=14 V2: H[0,1]F slot=8 V1: V[1,0]F slot=10 
T=52: V3: H[0,1]F slot=15 V2: H[0,1]F slot=9 V1: V[1,0]F slot=11 
T=53: V3: H[0,1]F slot=16 V2: H[0,1]F slot=10 V1: V[1,0]F slot=12 
T=54: V3: H[0,1]F slot=17 V2: H[0,1]F slot=11 V1: V[1,0]F slot=13 
T=55: V3: H[0,1]F slot=18 V2: H[0,1]F slot=12 V1: V[1,0]F slot=14 
T=56: V3: H[0,1]F slot=19 V2: H[0,1]F slot=13 V1: V[1,0]F slot=15 
T=57: V3: H[0,1]F slot=20 V2: H[0,1]F slot=14 V1: V[1,0]F slot=16 
T=58: V3: H[0,1]F slot=21 V2: H[0,1]F slot=15 V1: V[1,0]F slot=17 
T=59: V3: H[0,1]F slot=22 V2: H[0,1]F slot=16 V1: V[1,0]F slot=18 
T=60: V3: H[0,1]F slot=23 V2: H[0,1]F slot=17 V1: V[1,0]F slot=19 
T=61: V3: H[0,1]F slot=24 V2: H[0,1]F slot=18 V1: V[1,0]F slot=20 
T=62: V3: H[0,1]F slot=25 V2: H[0,1]F slot=19 V1: V[1,0]F slot=21 
T=63: V3: H[0,1]F slot=26 V2: H[0,1]F slot=20 V1: V[1,0]F slot=22 
